Player,Club,POS,GP,GS,MINS,Year,Season
Roy Lassiter,TB ,F,30,30,2580,1996,reg
Raul Diaz Arce,DC ,F,28,28,2351,1996,reg
Eduardo Hurtado,LA ,F,26,26,2323,1996,reg
Preki,KC ,M,32,32,2880,1996,reg
Brian McBride,CLB,F,28,28,2307,1996,reg
Steve Rammel,DC ,F,26,20,1649,1996,reg
Vitalis Takawira,KC ,F,28,25,2233,1996,reg
Paul Bravo,SJ ,M,31,31,2654,1996,reg
Jason Kreis,DAL,M,31,29,2564,1996,reg
Giovanni Savarese,MET,F,26,15,1576,1996,reg
Pete Marino,CLB,F,29,18,1700,1996,reg
Jean Harbor,COL,F,29,27,2111,1996,reg
Joe-Max Moore,NE ,F,14,14,1238,1996,reg
Eric Wynalda,SJ ,F,27,26,2326,1996,reg
Eduardo Espinoza,SJ ,F,26,26,2310,1996,reg
Mark Chung,KC ,M,32,32,2847,1996,reg
Shaun Bartlett,COL,F,26,26,2252,1996,reg
Giuseppe Galderisi,NE ,F,25,22,1961,1996,reg
Cobi Jones,LA ,M,28,27,2375,1996,reg
Steve Ralston,TB ,M,31,31,2762,1996,reg
Marcelo Balboa,COL,D,18,16,1525,1996,reg
Adrian Paz,CLB,M,27,19,1802,1996,reg
Alberto Naveda,NE ,F,25,20,1734,1996,reg
Harut Karapetyan,LA ,F,28,23,1860,1996,reg
Hugo Sanchez,DAL,F,23,21,1708,1996,reg
Maurice Johnston,KC ,M-F,29,29,2573,1996,reg
Antony De Avila,MET,F,8,7,650,1996,reg
Mauricio Cienfuegos,LA ,M,28,27,2405,1996,reg
Gerell Elliott,DAL,F,20,16,1523,1996,reg
Martin Vasquez,TB ,M,31,31,2700,1996,reg
Brian Maisonneuve,CLB,M,15,13,1209,1996,reg
John Kerr,DAL,F,19,16,1404,1996,reg
A.J. Wood,MET,F,21,13,1136,1996,reg
Steve Trittschuh,COL,D,32,32,2880,1996,reg
Diego Viera,TB ,F,17,6,774,1996,reg
Marco Etcheverry,DC ,M,26,23,2144,1996,reg
Carlos Valderrama,TB ,M,23,23,2059,1996,reg
Tony Sanneh,DC ,D,25,24,2047,1996,reg
Mike Sorber,KC ,M,23,23,1960,1996,reg
Darren Sawatzky,NE ,F,28,19,1776,1996,reg
Miles Joseph,MET,M,24,23,1927,1996,reg
Brian Haynes,DAL,M,26,23,1983,1996,reg
Paul Keegan,NE ,F,27,20,1844,1996,reg
Rob Johnson,MET,F,18,12,1136,1996,reg
Marcelo Carrera,CLB,F,30,12,1339,1996,reg
Washington Rodriguez,DAL,M-F,14,9,806,1996,reg
Greg Vanney,LA ,D,29,24,2236,1996,reg
Tab Ramos,MET,M,25,25,2158,1996,reg
Roberto Donadoni,MET,M,17,17,1530,1996,reg
John Harkes,DC ,M,29,28,2469,1996,reg
Chris Henderson,COL,M,29,29,2544,1996,reg
John Doyle,SJ ,D,30,30,2652,1996,reg
Ivan McKinley,TB ,D-M,26,25,2168,1996,reg
Welton,NE ,F,29,20,1909,1996,reg
Leonel Alvarez,DAL,M,22,22,1959,1996,reg
Scott Benedetti,COL,F,32,32,2815,1996,reg
Jaime Moreno,DC ,F,9,9,700,1996,reg
Geoff Aunger,NE ,D,29,26,2397,1996,reg
